height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,shotOnTarget,shotOffTarget,shotOnPost,shotBlocked,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,shotsTotal,ranking
187,71,24,FALSE,TRUE,-AML-FW-,"AM(L),FW",England,gb-eng,EPL,33,0,46,26,0,11,Dominic Calvert-Lewin,Dominic,Calvert-Lewin,141469,Forward,31,Everton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.165757576,2876,83,23
183,75,23,FALSE,TRUE,-DC-,D(C),England,ie,EPL,3,0,1,4,0,2,Jimmy Dunne,Jimmy,Dunne,366743,Defender,184,Burnley,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.156666667,270,7,24
183,72,23,FALSE,TRUE,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,34,0,4,2,0,1,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,331924,Defender,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.150294118,3060,7,25
171,70,21,FALSE,TRUE,-AMC-AML-AMR-,AM(CLR),England,gb-eng,EPL,28,0,20,13,1,12,Phil Foden,Phil,Foden,331254,Midfielder,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.1375,1614,45,26
179,71,21,FALSE,TRUE,-MC-,M(C),England,gb-eng,EPL,14,0,13,4,0,2,Joseph Willock,Joseph,Willock,342563,Midfielder,23,Newcastle United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.131428571,980,19,27
180,70,23,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,37,0,37,21,1,21,Marcus Rashford,Marcus,Rashford,300299,Forward,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.127027027,2928,79,28
174,70,30,FALSE,TRUE,-MC-,M(C),England,es,EPL,24,0,5,6,0,11,Thiago,Thiago,Alcántara do Nascimento,74939,Midfielder,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.120833333,1858,22,29
173,67,24,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,fr,EPL,25,0,13,7,0,10,Allan Saint-Maximin,Allan,Saint-Maximin,135891,Forward,23,Newcastle United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.1156,1568,30,30
175,73,24,FALSE,TRUE,-AML-AMR-FW-,"AM(LR),FW",England,br,EPL,29,0,16,17,1,22,Gabriel Jesus,Gabriel Fernando,de Jesus,279379,Forward,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.114482759,2060,55,31
172,69,21,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,pt,EPL,31,0,21,21,1,19,Pedro Neto,Pedro,Lomba Neto,337916,Forward,161,Wolverhampton Wanderers,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.112903226,2559,61,32
