height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,goalOpenPlay,goalCounter,goalSetPiece,penaltyScored,goalNormal,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalTotal,goalOwn,ranking
179,70,28,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,9,0,0,0,0,1,0,José Campaña,José,Campaña,91214,Midfielder,832,Levante,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.115555555555555,747,1,0,23
182,74,32,false,true,-MC-,M(C),Spain,es,SLL,36,0,2,0,1,0,3,Daniel Parejo,Daniel,Parejo,28186,Midfielder,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.104444444444443,3120,3,0,24
185,77,28,false,true,-DR-MC-MR-,"D(R),M(CR)",Spain,gh,SLL,3,0,0,0,0,0,0,Thomas Partey,Thomas,Partey,238940,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.090000000000001,199,0,0,25
0,0,19,false,true,,Forward,Spain,es,SLL,1,0,0,0,0,0,0,Jony Álamo,Jonatan,Carmona Álamo,402091,Forward,833,Elche,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.09,74,0,0,26
180,76,24,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,32,0,4,0,0,7,4,Carlos Soler,Carlos,Soler,313542,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.052499999999998,2737,11,0,27
181,78,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,33,0,5,0,0,6,5,Mikel Oyarzabal,Mikel,Oyarzabal,298839,Forward,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.051212121212122,2432,11,0,28
190,70,21,false,true,-FW-,FW,Spain,se,SLL,34,0,11,1,5,0,17,Alexander Isak,Alexander,Isak,299254,Forward,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.025,2361,17,0,29
180,71,28,false,true,-DR-,D(R),Spain,es,SLL,15,0,0,0,0,0,0,Rober Correa,Roberto Antonio,Correa Silva,113354,Defender,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.014,1140,0,0,30
178,67,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,fr,SLL,30,0,6,0,0,0,6,Ousmane Dembélé,Ousmane,Dembélé,299513,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.012999999999999,1781,6,0,31
178,70,22,false,true,-DC-,D(C),Spain,fr,SLL,34,0,0,0,2,0,2,Jules Koundé,Jules,Koundé,301019,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.005000000000001,2976,2,0,32
183,76,33,false,true,-DMC-,DMC,Spain,br,SLL,31,0,2,0,1,0,3,Fernando,Fernando Francisco,Reges,31958,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.002258064516129,2547,3,0,33
170,68,32,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,35,0,3,0,0,0,3,Jordi Alba,Jordi,Alba,44288,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.999142857142855,3030,3,1,34
173,67,35,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,21,0,1,0,1,0,2,David Silva,David,Silva,14102,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.992380952380951,1408,2,0,35
181,79,22,false,true,-DR-MR-,"D(R),M(R)",Spain,br,SLL,34,0,0,0,1,0,1,Emerson,Emerson Aparecido,Leite de Souza Junior,328512,Defender,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.985588235294115,2993,1,1,36
175,60,20,false,true,-AML-AMR-,AM(LR),Spain,es,SLL,28,0,3,0,1,0,4,Bryan Gil,Bryan,Gil,368519,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.964642857142858,2273,4,0,37
179,70,20,false,true,-DL-,D(L),Spain,,SLL,1,0,0,0,0,0,0,Manu Sánchez,Manuel,Sánchez,374813,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,50,0,0,38
0,0,20,false,true,,Midfielder,Spain,,SLL,1,0,0,0,0,0,0,Sergio Barcia,Sergio,Barcia,405801,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,90,0,0,39
184,82,35,false,true,-DC-DR-,D(CR),Spain,es,SLL,15,0,0,0,0,2,0,Sergio Ramos,Sergio,Ramos,9909,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.957333333333334,1277,2,0,40
176,65,30,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,31,0,5,0,1,2,6,Sergio Canales,Sergio,Canales,44189,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.952580645161289,2502,8,0,41
185,78,27,false,true,-DMC-,DMC,Spain,ar,SLL,35,0,1,0,0,0,1,Guido Rodríguez,Guido,Rodríguez,303876,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950857142857145,2873,1,0,42
186,79,31,false,true,-FW-,FW,Spain,es,SLL,37,0,10,0,2,0,12,Kike García,Enrique,García Martínez,79840,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950810810810813,3105,12,0,43
171,70,26,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,ar,SLL,38,0,8,0,1,0,9,Ángel Correa,Ángel,Correa,127604,Forward,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.939473684210526,2412,9,0,44
173,73,29,false,true,-DR-,D(R),Spain,es,SLL,13,0,0,0,0,0,0,Daniel Carvajal,Daniel,Carvajal,106883,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.931538461538461,952,0,0,45
187,84,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",Spain,ar,SLL,34,0,0,0,1,4,1,Lucas Ocampos,Lucas,Ocampos,115587,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.926764705882355,2648,5,0,46
187,81,30,false,true,-DC-,D(C),Spain,me,SLL,33,0,0,0,1,0,1,Stefan Savic,Stefan,Savic,77564,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.912424242424244,2954,1,0,47
