height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
182,74,32,false,true,-MC-,M(C),Spain,es,SLL,36,0,Daniel Parejo,Daniel,Parejo,28186,Midfielder,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.104444444444443,3120,2668,177,60,2230,201,24
185,77,28,false,true,-DR-MC-MR-,"D(R),M(CR)",Spain,gh,SLL,3,0,Thomas Partey,Thomas,Partey,238940,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.090000000000001,199,220,20,7,176,17,25
0,0,19,false,true,,Forward,Spain,es,SLL,1,0,Jony Álamo,Jonatan,Carmona Álamo,402091,Forward,833,Elche,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.09,74,16,2,0,12,2,26
180,76,24,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,32,0,Carlos Soler,Carlos,Soler,313542,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.052499999999998,2737,1431,99,69,1129,134,27
181,78,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,33,0,Mikel Oyarzabal,Mikel,Oyarzabal,298839,Forward,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.051212121212122,2432,812,24,19,599,170,28
190,70,21,false,true,-FW-,FW,Spain,se,SLL,34,0,Alexander Isak,Alexander,Isak,299254,Forward,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.025,2361,429,9,6,303,111,29
180,71,28,false,true,-DR-,D(R),Spain,es,SLL,15,0,Rober Correa,Roberto Antonio,Correa Silva,113354,Defender,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.014,1140,457,24,41,299,93,30
178,67,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,fr,SLL,30,0,Ousmane Dembélé,Ousmane,Dembélé,299513,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.012999999999999,1781,922,21,6,770,125,31
178,70,22,false,true,-DC-,D(C),Spain,fr,SLL,34,0,Jules Koundé,Jules,Koundé,301019,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.005000000000001,2976,2357,97,89,2027,144,32
183,76,33,false,true,-DMC-,DMC,Spain,br,SLL,31,0,Fernando,Fernando Francisco,Reges,31958,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.002258064516129,2547,1575,86,50,1327,112,33
