height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
188,86,27,false,true,-AMC-FW-,"AM(C),FW",England,gb-eng,EPL,35,0,Harry Kane,Harry,Kane,83532,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.787142857142859,3087,908,65,41,570,232,1
181,68,29,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,be,EPL,25,0,Kevin De Bruyne,Kevin,De Bruyne,73084,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.6536,2001,1265,64,24,969,208,2
175,68,25,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,26,0,Jack Grealish,Jack,Grealish,113069,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.560384615384615,2184,996,30,21,800,145,3
179,69,26,false,true,-MC-ML-MR-,M(CLR),England,pt,EPL,37,0,Bruno Fernandes,Bruno Miguel,Borges Fernandes,123761,Midfielder,32,Manchester United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.429459459459459,3110,2112,142,81,1512,377,4
192,86,26,false,true,-DMC-,DMC,England,cz,EPL,38,0,Tomas Soucek,Tomas,Soucek,143595,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.36421052631579,3420,1607,84,42,1129,352,5
178,70,22,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,36,0,Mason Mount,Mason,Mount,343346,Midfielder,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.331388888888891,2892,1702,58,29,1414,201,6
175,69,29,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,sn,EPL,35,0,Sadio Mané,Sadio,Mané,109915,Forward,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.328285714285716,2813,1008,29,13,764,202,7
179,67,30,false,true,-AMC-AML-AMR-,AM(CLR),England,dz,EPL,27,0,Riyad Mahrez,Riyad,Mahrez,104749,Forward,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.313703703703704,1955,1004,23,9,865,107,8
182,74,27,false,true,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,28,0,João Cancelo,João Pedro,Cavaco Cancelo,128967,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.310714285714285,2302,1854,66,48,1549,191,9
185,81,31,false,true,-FW-MC-ML-MR-,"M(CLR),FW",England,gb-wls,EPL,20,0,Gareth Bale,Gareth,Bale,13812,Forward,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.295,923,366,30,19,238,79,10
