name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Victor Chust,Defender,0,0,75,0,2,0,1,1,0,0,0,0,0,LaLiga,94
Lucas Olaza,Defender,11,3,505,15,14,1,20,15,0,0,4,0,1,LaLiga,1260
Marc Bartra,Defender,10,4,958,3,19,1,27,40,0,0,3,0,0,LaLiga,1695
Jonathan Calleri,Forward,47,16,343,10,25,2,15,1,0,0,4,0,5,LaLiga,1559
Carlos Clerc,Defender,6,4,1335,23,35,3,56,37,0,0,5,0,0,LaLiga,2777
RubÃ©n Rochina,Midfielder,35,7,786,16,25,1,38,22,0,0,5,0,0,LaLiga,1407
Neto,Goalkeeper,0,0,204,0,7,0,0,0,18,0,0,0,0,LaLiga,630
Lucas PÃ©rez,Forward,32,13,515,53,28,4,6,2,0,0,1,0,4,LaLiga,1769
SergiÃ±o Dest,Defender,14,5,1115,23,30,1,31,10,0,0,1,0,2,LaLiga,1919
Carlos Akapo,Defender,2,1,234,2,13,0,18,19,0,1,1,0,1,LaLiga,867
Juan Miranda,Defender,10,3,715,12,22,2,27,29,0,0,4,0,1,LaLiga,1653
Ilaix Moriba,Midfielder,13,3,370,7,14,2,14,5,0,0,1,0,1,LaLiga,538
Gonzalo VerdÃº,Defender,11,4,1583,6,33,2,34,52,0,0,11,0,0,LaLiga,2945
Marc-AndrÃ© ter Stegen,Goalkeeper,1,0,886,1,31,0,0,0,76,0,1,0,0,LaLiga,2790
VÃ­ctor Ruiz,Defender,4,4,1295,2,27,0,11,44,0,0,9,2,2,LaLiga,2158
Ãlvaro Odriozola,Defender,3,2,351,8,13,0,14,6,0,0,0,0,2,LaLiga,830
Ramiro Funes Mori,Defender,4,1,477,0,10,0,12,8,0,0,1,0,0,LaLiga,726
VinÃ­cius JÃºnior,Forward,40,13,739,33,35,3,32,7,0,0,3,0,3,LaLiga,1975
Roque Mesa,Midfielder,26,5,867,16,25,0,46,14,0,1,4,0,1,LaLiga,1772
MartÃ­n Zubimendi,Midfielder,7,1,1110,7,31,0,41,40,0,0,6,0,0,LaLiga,1873
Antonio Sanabria,Forward,25,12,218,3,16,0,5,3,0,0,2,0,3,LaLiga,936
Aleix Vidal,Defender,1,0,429,6,12,1,9,12,0,0,2,0,0,LaLiga,590
Ã“scar Plano,Forward,40,10,783,25,36,5,42,34,0,1,1,0,5,LaLiga,2530
Lee Kang-In,Midfielder,25,7,499,22,24,4,15,2,0,0,1,0,0,LaLiga,1267
Nemanja Maksimovic,Midfielder,17,5,759,19,35,0,50,58,0,0,5,0,1,LaLiga,2745
Moi GÃ³mez,Midfielder,23,11,1241,32,35,0,21,11,0,0,1,0,4,LaLiga,2573
Ãlex FernÃ¡ndez,Midfielder,10,4,795,23,25,1,19,22,0,0,1,0,4,LaLiga,1950
Nacho Vidal,Defender,10,2,763,12,34,0,56,43,0,0,10,0,0,LaLiga,2343
JoaquÃ­n FernÃ¡ndez,Midfielder,8,3,776,2,25,0,30,43,0,0,8,0,1,LaLiga,2076
Sime Vrsaljko,Defender,0,0,226,0,9,0,18,8,0,0,2,0,0,LaLiga,521
Tete Morente,Midfielder,19,3,641,15,30,5,31,13,0,0,5,0,2,LaLiga,2027
Cucho HernÃ¡ndez,Forward,28,11,466,20,23,3,19,6,0,0,5,0,2,LaLiga,1475
Saidy Janko,Defender,3,1,425,9,19,1,19,18,0,0,4,0,0,LaLiga,1224
Jeison Murillo,Defender,9,3,1626,3,31,0,45,36,0,1,9,0,2,LaLiga,2700
Ivan Rakitic,Midfielder,40,10,1677,25,37,2,32,26,0,0,5,0,4,LaLiga,2243
Roger MartÃ­,Forward,46,23,502,18,33,4,11,4,0,0,4,0,12,LaLiga,2209
RaÃºl GarcÃ­a,Midfielder,47,14,558,15,34,1,34,15,0,2,6,0,5,LaLiga,1744
HÃ©ctor Herrera,Midfielder,7,1,655,6,16,1,12,14,0,0,2,0,0,LaLiga,681
ÃÃ±igo MartÃ­nez,Defender,18,7,1446,6,28,0,22,28,0,1,9,0,1,LaLiga,2520
ClÃ©ment Lenglet,Defender,11,5,2300,9,33,0,36,33,0,2,7,1,1,LaLiga,2478
Borja Iglesias,Forward,38,16,271,6,28,0,1,3,0,0,2,0,11,LaLiga,1414
Ximo Navarro,Defender,13,3,789,8,31,1,54,47,0,0,6,0,1,LaLiga,2381
Hugo GuillamÃ³n,Defender,7,1,1176,1,25,0,23,27,0,0,8,1,1,LaLiga,1991
AarÃ³n MartÃ­n,Defender,5,1,672,6,19,3,34,13,0,0,1,0,0,LaLiga,1540
Willian JosÃ©,Forward,14,9,230,8,13,1,3,0,0,0,0,0,3,LaLiga,689
Esteban Burgos,Defender,6,5,554,2,14,1,7,23,0,0,5,0,3,LaLiga,1116
Sergi Enrich,Forward,45,15,437,16,27,0,21,6,0,0,1,0,3,LaLiga,1402
Daniel CÃ¡rdenas,Goalkeeper,0,0,221,0,8,0,0,3,28,0,1,0,0,LaLiga,720
Jorge Pulido,Defender,17,4,1600,5,33,0,39,52,0,1,5,0,1,LaLiga,2886
Kike Barja,Forward,22,12,426,16,33,3,10,16,0,0,2,0,2,LaLiga,1435
RaÃºl Albiol,Defender,8,1,2051,4,35,0,22,22,0,0,7,0,0,LaLiga,3119
Pablo HervÃ­as,Midfielder,14,7,525,30,27,5,19,11,0,0,1,0,0,LaLiga,1193
Igor Zubeldia,Midfielder,9,3,1201,5,24,1,23,12,0,0,5,0,1,LaLiga,1958
Josema,Defender,6,0,876,6,29,1,43,37,0,0,4,0,0,LaLiga,1968
Sergio Asenjo,Goalkeeper,0,0,1115,0,36,0,0,0,80,0,2,0,0,LaLiga,3240
Jorge MiramÃ³n,Defender,10,0,797,16,26,3,32,27,0,0,1,0,0,LaLiga,1734
Aihen MuÃ±oz,Defender,4,1,517,6,16,1,23,10,0,0,6,0,0,LaLiga,1210
Ã“scar Duarte,Defender,7,3,1230,4,29,0,22,36,0,0,2,0,1,LaLiga,2063
Samuel Chukwueze,Midfielder,31,11,497,29,28,2,12,10,0,0,0,0,4,LaLiga,1363
Enis Bardhi,Midfielder,36,13,801,21,26,2,28,21,0,0,4,0,1,LaLiga,1686
Augusto Solari,Midfielder,5,3,178,10,16,2,18,6,0,0,2,0,2,LaLiga,478
Josan,Midfielder,15,8,623,16,33,2,34,21,0,0,3,0,4,LaLiga,1935
MickaÃ«l Malsa,Midfielder,24,7,1379,12,35,0,55,43,0,0,5,0,1,LaLiga,2342
Ãlvaro Tejero,Defender,2,1,66,3,2,0,1,3,0,0,1,0,0,LaLiga,109
Juan Cala,Defender,14,5,747,3,28,0,21,35,0,0,8,0,3,LaLiga,2275
RÃºben Vezo,Defender,5,2,1343,3,32,0,34,46,0,0,7,1,1,LaLiga,2312
Karim Rekik,Defender,2,0,430,3,11,0,7,6,0,0,2,0,0,LaLiga,651
Jorge Molina,Forward,24,12,464,21,33,2,11,3,0,0,3,0,8,LaLiga,1614
Ã“liver Torres,Midfielder,10,3,966,27,33,3,34,15,0,0,2,0,0,LaLiga,1397
Carles AleÃ±Ã¡,Midfielder,30,8,520,25,22,2,15,2,0,0,1,0,2,LaLiga,1369
Toni Villa,Midfielder,15,5,341,13,21,0,31,5,0,0,2,0,2,LaLiga,970
IvÃ¡n Villar,Goalkeeper,0,0,600,0,21,0,0,0,48,0,1,0,0,LaLiga,1774
Luis SuÃ¡rez,Forward,47,17,276,15,27,1,19,8,0,0,6,0,5,LaLiga,1670
Enes Ãœnal,Forward,38,9,339,14,28,2,11,2,0,0,4,0,4,LaLiga,1322
Paco AlcÃ¡cer,Forward,37,20,262,15,27,4,6,9,0,0,0,0,6,LaLiga,1557
Samuel Umtiti,Defender,2,1,615,1,13,0,5,9,0,0,1,0,0,LaLiga,643
Unai LÃ³pez,Midfielder,25,10,981,18,26,0,27,18,0,0,7,1,3,LaLiga,1425
Aitor Ruibal,Forward,33,14,526,24,28,2,32,11,0,0,2,0,2,LaLiga,1606
RaÃºl Guti,Midfielder,27,6,1277,7,36,1,48,49,0,1,3,0,3,LaLiga,2876
Luis Rioja,Forward,24,9,512,25,35,2,21,20,0,0,4,0,4,LaLiga,2100
Jaime Seoane,Midfielder,24,9,845,11,29,1,50,17,0,0,5,0,1,LaLiga,2066
Junior Firpo,Defender,1,1,203,5,7,1,1,4,0,0,2,0,1,LaLiga,286
FabiÃ¡n Orellana,Midfielder,30,16,676,32,30,2,33,15,0,0,5,0,6,LaLiga,2153
RubÃ©n Alcaraz,Midfielder,28,3,1109,9,30,0,54,31,0,0,10,0,1,LaLiga,2170
Pervis EstupiÃ±Ã¡n,Defender,10,5,503,17,25,0,37,35,0,0,1,0,0,LaLiga,1164
Jens Jonsson,Midfielder,15,2,689,12,35,0,55,51,0,0,6,0,0,LaLiga,2629
Antonio BarragÃ¡n,Defender,6,0,1109,10,27,3,28,33,0,0,8,0,0,LaLiga,2239
Yeremi Pino,Forward,13,5,294,10,24,1,19,9,0,0,4,0,3,LaLiga,786
Cristian Tello,Forward,35,14,469,20,29,3,16,11,0,1,0,0,5,LaLiga,1282
Pablo Ãnsua,Defender,3,0,744,1,20,0,37,24,0,0,9,0,0,LaLiga,1588
Pape Diop,Midfielder,28,9,866,12,33,1,43,39,0,2,7,0,1,LaLiga,2336
Munir El Haddadi,Forward,31,12,324,11,24,2,12,5,0,0,2,0,4,LaLiga,839
Dani GarcÃ­a,Midfielder,6,1,1026,8,27,1,39,33,0,0,8,0,0,LaLiga,1922
Rafa Soares,Defender,2,0,473,15,19,1,28,20,0,0,2,0,0,LaLiga,1131
Edgar MÃ©ndez,Midfielder,35,10,386,18,33,1,39,19,0,1,10,0,5,LaLiga,2105
Maxime Gonalons,Midfielder,4,1,707,7,25,1,53,25,0,1,7,0,0,LaLiga,1483
GermÃ¡n SÃ¡nchez,Defender,13,5,970,1,34,1,24,38,0,1,10,0,3,LaLiga,2638
Antonio Puertas,Midfielder,26,11,551,17,35,5,27,12,0,0,6,0,3,LaLiga,2170
Diego Costa,Forward,5,3,72,4,7,0,1,0,0,0,1,0,2,LaLiga,207
