height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
181,78,30,false,true,-FW-MC-MR-,"M(CR),FW",England,de,EPL,34,0,45,74,Pascal Groß,Pascal,Groß,71824,Midfielder,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.819117647058823,2482,29,137
188,78,27,false,true,-DC-DMC-DR-,"D(CR),DMC",England,br,EPL,30,0,58,85,Fabinho,Fabio Henrique,Tavares,115916,Midfielder,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.817333333333331,2565,27,138
183,75,29,false,true,-AMC-AML-AMR-,AM(CLR),England,gb-sct,EPL,33,0,60,108,Stuart Armstrong,Stuart,Armstrong,93677,Midfielder,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.8157575757575755,2774,48,139
182,67,31,false,true,-DC-MC-ML-MR-,"D(C),M(CLR)",England,gb-eng,EPL,21,0,24,40,Jordan Henderson,Jordan,Henderson,68659,Midfielder,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.815714285714286,1708,16,140
170,66,31,false,true,-DC-DL-ML-,"D(CL),M(L)",England,gb-eng,EPL,36,0,32,46,Aaron Cresswell,Aaron,Cresswell,68049,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.812777777777778,3172,14,141
191,81,29,false,true,-FW-,FW,England,nz,EPL,33,0,12,25,Chris Wood,Chris,Wood,73380,Forward,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.811212121212121,2750,13,142
0,0,22,false,true,-AMC-AML-AMR-,AM(CLR),England,ng,EPL,34,0,27,46,Eberechi Eze,Eberechi,Eze,332403,Midfielder,162,Crystal Palace,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.811176470588236,2565,19,143
180,80,24,false,true,-DMC-,DMC,England,pt,EPL,36,0,86,138,Rúben Neves,Rúben Diogo,da Silva Neves,238244,Midfielder,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.808888888888891,2680,52,144
179,67,36,false,true,-DC-DMC-DR-,"D(CR),DMC",England,br,EPL,21,0,31,54,Fernandinho,Fernando,Luiz Rosa,19119,Midfielder,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.807619047619048,1185,23,145
180,75,25,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,de,EPL,35,0,20,56,Timo Werner,Timo,Werner,130903,Forward,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.807428571428571,2608,36,146
