height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,saveSixYardBox,savePenaltyArea,saveObox,saveTotal,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,ranking
178,67,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,fr,SLL,30,0,0,0,0,0,Ousmane Dembélé,Ousmane,Dembélé,299513,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.012999999999999,1781,31
178,70,22,false,true,-DC-,D(C),Spain,fr,SLL,34,0,0,0,0,0,Jules Koundé,Jules,Koundé,301019,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.005000000000001,2976,32
183,76,33,false,true,-DMC-,DMC,Spain,br,SLL,31,0,0,0,0,0,Fernando,Fernando Francisco,Reges,31958,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.002258064516129,2547,33
170,68,32,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,35,0,0,0,0,0,Jordi Alba,Jordi,Alba,44288,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.999142857142855,3030,34
173,67,35,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,21,0,0,0,0,0,David Silva,David,Silva,14102,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.992380952380951,1408,35
181,79,22,false,true,-DR-MR-,"D(R),M(R)",Spain,br,SLL,34,0,0,0,0,0,Emerson,Emerson Aparecido,Leite de Souza Junior,328512,Defender,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.985588235294115,2993,36
175,60,20,false,true,-AML-AMR-,AM(LR),Spain,es,SLL,28,0,0,0,0,0,Bryan Gil,Bryan,Gil,368519,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.964642857142858,2273,37
179,70,20,false,true,-DL-,D(L),Spain,,SLL,1,0,0,0,0,0,Manu Sánchez,Manuel,Sánchez,374813,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,50,38
0,0,20,false,true,,Midfielder,Spain,,SLL,1,0,0,0,0,0,Sergio Barcia,Sergio,Barcia,405801,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.96,90,39
184,82,35,false,true,-DC-DR-,D(CR),Spain,es,SLL,15,0,0,0,0,0,Sergio Ramos,Sergio,Ramos,9909,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.957333333333334,1277,40
176,65,30,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,31,0,0,0,0,0,Sergio Canales,Sergio,Canales,44189,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.952580645161289,2502,41
185,78,27,false,true,-DMC-,DMC,Spain,ar,SLL,35,0,0,0,0,0,Guido Rodríguez,Guido,Rodríguez,303876,Midfielder,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950857142857145,2873,42
186,79,31,false,true,-FW-,FW,Spain,es,SLL,37,0,0,0,0,0,Kike García,Enrique,García Martínez,79840,Forward,824,Eibar,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.950810810810813,3105,43
171,70,26,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,ar,SLL,38,0,0,0,0,0,Ángel Correa,Ángel,Correa,127604,Forward,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.939473684210526,2412,44
173,73,29,false,true,-DR-,D(R),Spain,es,SLL,13,0,0,0,0,0,Daniel Carvajal,Daniel,Carvajal,106883,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.931538461538461,952,45
187,84,26,false,true,-FW-MC-ML-MR-,"M(CLR),FW",Spain,ar,SLL,34,0,0,0,0,0,Lucas Ocampos,Lucas,Ocampos,115587,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.926764705882355,2648,46
187,81,30,false,true,-DC-,D(C),Spain,me,SLL,33,0,0,0,0,0,Stefan Savic,Stefan,Savic,77564,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.912424242424244,2954,47
176,77,29,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,37,0,0,0,0,0,Koke,Jorge,Resurrección,80764,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.9021621621621625,3026,48
186,91,24,false,true,-FW-,FW,Spain,uy,SLL,31,0,0,0,0,0,Maximiliano Gómez,Maximiliano,Gómez,344119,Forward,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.901612903225807,2699,49
177,70,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,34,0,0,0,0,0,Suso,Jesús,Fernández Saez,105591,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.885,2234,50
172,60,35,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,34,0,0,0,0,0,Jesús Navas,Jesús,Navas,9446,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.881176470588237,2836,51
189,76,32,false,true,-DMC-,DMC,Spain,es,SLL,36,0,0,0,0,0,Sergio Busquets,Sergio,Busquets,44721,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.877499999999999,2530,52
185,78,25,false,true,-DC-DMC-,"D(C),DMC",Spain,pe,SLL,32,0,0,0,0,0,Renato Tapia,Renato,Tapia,136987,Midfielder,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8759375,2710,53
189,73,24,false,true,-FW-,FW,Spain,ma,SLL,38,0,0,0,0,0,Youssef En-Nesyri,Youssef,En-Nesyri,323547,Forward,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.873947368421055,2314,54
188,87,28,false,true,-GK-,GK,Spain,si,SLL,38,0,11,54,35,100,Jan Oblak,Jan,Oblak,76662,Goalkeeper,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.869736842105262,3420,55
181,77,25,false,true,-AML-AMR-FW-,"AM(LR),FW",Spain,es,SLL,34,0,0,0,0,0,Santi Mina,Santiago,Mina Lorenzo,125838,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.867647058823528,2423,56
186,79,23,false,true,-DC-DR-,D(CR),Spain,br,SLL,14,0,0,0,0,0,Eder Militão,Éder Gabriel,Militão,337879,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862857142857143,1134,57
180,74,31,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,30,0,0,0,0,0,Fidel,Fidel,Chaves de la Torre,86809,Midfielder,833,Elche,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862333333333333,2404,58
175,74,25,false,true,-DMC-,DMC,Spain,uy,SLL,34,0,0,0,0,0,Mauro Arambarri,Mauro,Arambarri,303016,Midfielder,819,Getafe,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.857941176470589,2990,59
191,81,28,false,true,-DC-,D(C),Spain,fr,SLL,31,0,0,0,0,0,Raphael Varane,Raphael,Varane,93206,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.848064516129034,2717,60
185,83,32,false,true,-GK-,GK,Spain,nl,SLL,10,0,1,23,10,34,Jasper Cillessen,Jasper,Cillessen,90811,Goalkeeper,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.843999999999999,900,61
172,69,29,false,true,-DL-MC-ML-,"D(L),M(CL)",Spain,ar,SLL,30,0,0,0,0,0,Marcos Acuña,Marcos,Acuña,303729,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.842666666666667,2331,62
180,73,26,false,true,-DL-ML-,"D(L),M(L)",Spain,fr,SLL,26,0,0,0,0,0,Ferland Mendy,Ferland,Mendy,296337,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8415384615384625,2207,63
185,72,27,false,true,-DC-,D(C),Spain,es,SLL,35,0,0,0,0,0,David García,David,García,240874,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.840285714285716,3150,64
190,83,29,false,true,-DC-,D(C),Spain,ma,SLL,19,0,0,0,0,0,Jawad El Yamiq,Jawad,El Yamiq,328643,Defender,58,Real Valladolid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.834210526315789,1377,65
179,68,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,pt,SLL,31,0,0,0,0,0,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,247995,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832903225806453,2301,66
171,63,25,false,true,-AMC-AML-AMR-,AM(CLR),Spain,fr,SLL,27,0,0,0,0,0,Thomas Lemar,Thomas,Lemar,132962,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832222222222222,1376,67
182,78,26,false,true,-DC-,D(C),Spain,es,SLL,23,0,0,0,0,0,Yeray Álvarez,Yeray,Álvarez,279839,Defender,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82913043478261,1949,68
175,73,25,false,true,-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",Spain,es,SLL,35,0,0,0,0,0,Alex Berenguer,Alejandro,Berenguer Remiro,238899,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8279999999999985,2289,69
175,65,34,false,true,-AMC-AML-,AM(CL),Spain,es,SLL,36,0,0,0,0,0,Nolito,Manuel,Agudo Durán,91267,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.827777777777778,2628,70
186,76,26,false,true,-AMC-AML-AMR-,AM(CLR),Spain,be,SLL,27,0,0,0,0,0,Adnan Januzaj,Adnan,Januzaj,130334,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8277777777777775,1011,71
170,65,28,false,true,-AMC-AML-AMR-,AM(CLR),Spain,es,SLL,28,0,0,0,0,0,Iker Muniain,Iker,Muniain,77922,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.822499999999999,1955,72
0,0,20,false,true,,Defender,Spain,,SLL,4,0,0,0,0,0,Carlos Domínguez,Carlos,Domínguez,415344,Defender,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82,360,73
184,74,26,false,true,-MC-,M(C),Spain,es,SLL,35,0,0,0,0,0,Joan Jordán,Joan,Jordán,238941,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.819714285714285,2424,74
176,65,31,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,9,0,0,0,0,0,Sergio Escudero,Sergio,Escudero,89856,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.818888888888889,567,75
