height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
170,72,34,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,ar,SLL,35,0,18,29,Lionel Messi,Lionel,Messi,11119,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,8.520285714285714,3023,11,1
0,0,19,false,true,,Goalkeeper,Spain,es,SLL,1,0,0,0,Ángel Jiménez,Ángel,Jiménez,405792,Goalkeeper,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,8.24,90,0,2
180,77,29,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,SLL,33,0,24,51,Gerard Moreno,Gerard,Moreno,97659,Forward,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.624242424242424,2683,27,3
185,81,33,false,true,-FW-,FW,Spain,fr,SLL,34,0,8,18,Karim Benzema,Karim,Benzema,14296,Forward,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.5711764705882345,2902,10,4
178,66,18,false,true,-AML-,AM(L),Spain,es,SLL,7,0,9,17,Ansu Fati,Anssumane,Fati,382234,Forward,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.378571428571428,437,8,5
185,84,29,false,true,-DMC-,DMC,Spain,br,SLL,34,0,84,124,Casemiro,Carlos Henrique,Casimiro,88526,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.35764705882353,2903,40,6
176,67,33,false,true,-AMC-AMR-FW-,"AM(CR),FW",Spain,es,SLL,33,0,11,32,Iago Aspas,Iago,Aspas,91242,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.324545454545454,2871,21,7
184,74,26,false,true,-FW-MC-MR-,"M(CR),FW",Spain,es,SLL,37,0,71,107,Marcos Llorente,Marcos,Llorente,254582,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.2648648648648635,2960,36,8
188,83,25,false,true,-MC-,M(C),Spain,es,SLL,26,0,61,88,Mikel Merino,Mikel,Merino,238916,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.236923076923077,2157,27,9
183,76,31,false,true,-MC-,M(C),Spain,de,SLL,28,0,42,75,Toni Kroos,Toni,Kroos,31772,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.222499999999999,2122,33,10
192,80,31,false,true,-FW-,FW,Spain,es,SLL,37,0,27,47,Joselu,Jose Luis,Mato Sanmartín,74603,Forward,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.22,3038,20,11
178,71,30,false,true,-DR-MR-,"D(R),M(R)",Spain,gb-eng,SLL,28,0,61,87,Kieran Trippier,Kieran,Trippier,83078,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.201785714285713,2477,26,12
173,70,29,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,24,0,61,91,Lucas Vázquez,Lucas,Vázquez,144511,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.197500000000001,1851,30,13
188,80,28,false,true,-DMC-,DMC,Spain,cf,SLL,5,0,16,28,Geoffrey Kondogbia,Geoffrey,Kondogbia,91978,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,7.192,441,12,14
