name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Trent Alexander-Arnold,Defender,55,12,2381,77,36,7,56,49,0,0,2,0,2,Premier League,3033
Wesley Fofana,Defender,11,2,1688,6,28,0,51,61,0,0,7,0,0,Premier League,2265
Declan Rice,Midfielder,27,8,1526,23,32,1,59,59,0,0,2,0,2,Premier League,2880
Kalvin Phillips,Midfielder,15,5,1404,35,29,2,74,45,0,0,10,0,1,Premier League,2431
James Maddison,Midfielder,75,23,1020,51,31,5,32,9,0,0,4,0,8,Premier League,2105
Ben Chilwell,Defender,27,10,1469,30,27,5,42,24,0,0,3,0,3,Premier League,2290
Emiliano MartÃ­nez,Goalkeeper,0,0,1134,2,38,0,3,2,141,0,1,0,0,Premier League,3420
AndrÃ©-Frank Zambo Anguissa,Midfielder,34,9,1416,27,36,3,78,56,0,0,6,0,0,Premier League,2587
Yves Bissouma,Midfielder,42,3,1685,16,36,0,104,64,0,1,8,0,1,Premier League,3114
Richarlison,Forward,81,32,749,25,34,3,49,14,0,1,4,0,7,Premier League,2872
Harvey Barnes,Midfielder,56,26,605,26,25,4,19,8,0,0,0,0,9,Premier League,1950
Alex Telles,Defender,5,1,458,12,9,2,14,16,0,0,0,0,0,Premier League,692
Okay Yokuslu,Midfielder,12,0,530,6,16,1,38,35,0,0,4,0,0,Premier League,1319
Jack Harrison,Midfielder,45,19,989,59,36,8,63,15,0,0,2,0,8,Premier League,2858
Matheus Pereira,Forward,65,28,940,60,33,6,26,29,0,1,2,0,11,Premier League,2582
Joel Matip,Defender,5,2,546,3,10,2,14,7,0,0,2,0,1,Premier League,693
Vladimir Coufal,Defender,15,5,1279,45,34,7,73,41,0,0,3,0,0,Premier League,3055
Pierre-Emile HÃ¸jbjerg,Midfielder,14,7,2765,16,38,4,98,48,0,0,9,0,2,Premier League,3420
Luke Ayling,Defender,24,6,2381,27,38,0,108,36,0,0,7,0,0,Premier League,3400
Scott Carson,Goalkeeper,0,0,10,0,1,0,0,0,2,0,0,0,0,Premier League,90
Reece James,Defender,34,11,1696,42,32,2,55,17,0,0,3,0,1,Premier League,2367
Oriol Romeu,Midfielder,14,4,1275,14,21,1,69,30,0,0,6,0,1,Premier League,1768
Matthew Cash,Defender,9,2,1008,21,28,2,71,60,0,1,6,0,0,Premier League,2380
Scott McTominay,Midfielder,26,8,1298,17,32,1,51,29,0,0,3,0,4,Premier League,2128
Ahmed Hegazi,Defender,0,0,56,0,1,0,0,1,0,0,0,0,0,Premier League,90
Ben Mee,Defender,22,7,1122,6,30,0,32,43,0,0,3,0,2,Premier League,2694
Anthony Elanga,Forward,2,1,53,1,2,0,4,1,0,0,0,0,1,Premier League,156
Fred,Midfielder,25,7,1806,25,30,0,81,45,0,0,5,0,1,Premier League,2397
